Name,Grade,Subject,Desc_1,Desc_2,Source_url,Link
Meditation Kaise Kare | मैडिटेशन कैसे करें | Meditate,All,Classroom Behavior,"""मैडिटेशन या ध्यान लगाने से दिमाग शांत होता है और आप रिलैक्स महसूस करते हैं। आइये जानते हैं कुछ ऐसी ही मैडिटेशन सम्बंधित टिप्स और ट्रिक्स।","To read an article on this topic, use the following link:",https://hi.wikihow.com/मेडीटेशन-करें,https://youtu.be/KRBHTnZyWfk
Gitaar Bajana Seekhain | Gitar Kaise bajaye| गिटार बजाना सीखें | Play Guitar,All,Art,"""अगर आप भी गिटार बजाने के शौक़ीन हैं तो देखिये ये वीडियो गिटार बजाना कैसे सीखें। ये क्विक वीडियो आपको टिप्स देगा कि कैसे गिटार बजाएं!","To read an article on this topic, use the following link:",https://hi.wikihow.com/गिटार-बजाएं,https://youtu.be/FFNKVsqq6Ko
Kaise ek Kitaab ya Book Likhe | कैसे एक किताब लिखें | Write a Book,"9, 10, 11,12",English,ये क्विक वीडियो आपको टिप्स देगा कि कैसे एक किताब लिखें!,"To read an article on this topic, use the following link:",https://hi.wikihow.com/एक-किताब-लिखें,https://youtu.be/HwqI7xyzRjU
Shatranj Khelna Seekhe | शतरंज कैसे खेलें | Play Chess,"6, 7, 8, 9, 10, 11, 12",Art,"क्या आप भी शतरंज खेलने के शौक़ीन हैं और इसे सीखना चाहते हैं। तो ये विकीहाउ वीडियो आपको सिखाएगा। ये क्विक वीडियो आपको टिप्स देगा कि कैसे शतरंज खेलें!","To read an article on this topic, use the following link:",https://hi.wikihow.com/शतरंज-खेलें,https://youtu.be/rZ_cR5vW-A0
Kaise Paise Kamaye | पैसे बनाएँ | Make Money,"9, 10, 11,12",Accountancy,"ये क्विक वीडियो आपको टिप्स देगा कि कैसे पैसे बनाएँ (kaise paise kamaye, make money)!","To read an article on this topic, use the following link:","https://hi.wikihow.com/पैसे-बनाएँ-(Kaise-Paise-Kamaye,-Make-Money)",https://youtu.be/jKvnZwISrPw
Division Question Kaise Solve Kare | लम्बे डिवीज़न क्वेश्चन सॉल्व करें | Do Long Division,IV-V,Math,ये क्विक वीडियो आपको टिप्स देगा कि कैसे लम्बे डिवीज़न क्वेश्चन सॉल्व करें!,"To read an article on this topic, use the following link:",https://hi.wikihow.com/लम्बे-डिवीज़न-क्वेश्चन-सॉल्व-करें,https://youtu.be/opmU3jfK8nk
"Soccer Kaise Khele | सॉकर, फुटबॉल खेलना सीखें | Play Soccer","6, 7, 8, 9, 10, 11, 12",Art,ये क्विक वीडियो आपको टिप्स देगा कि कैसे सॉकर (soccer) खेलें!,"To read an article on this topic, use the following link:",https://hi.wikihow.com/सॉकर-(Soccer)-खेलें,https://youtu.be/1-O5FbwodAM
Kaise Focus Power Badhaye | कैंसे फोकस करें | ध्यान केंद्रित करने के तरीके | Focus,"6, 7, 8, 9, 10, 11, 12",Pedagogy,ये क्विक वीडियो आपको टिप्स देगा कि कैसे किसी चीज़ पर फोकस करें!,"To read an article on this topic, use the following link:",https://hi.wikihow.com/किसी-चीज़-पर-फोकस-करें,https://youtu.be/zT1UAi4XTv8
Robot Banana Seekhe | रोबोट कैसे बनायें | रोबोट बनाना सीखें | Build a Robot at Home,"6, 7, 8, 9, 10, 11, 12",Science,"अगर आप अपने स्कूल कॉलेज प्रोजेक्ट के लिए घर पर ही रोबोट बनाना सीखना चाहते हैं तो ये विकीहाउ वीडियो देखें। ये क्विक वीडियो आपको टिप्स देगा कि कैसे घर पर रोबोट बनायें (kaise, kare, robot)!","To read an article on this topic, use the following link:","https://hi.wikihow.com/घर-पर-रोबोट-बनायें-(Kaise,-Kare,-Robot)",https://youtu.be/STeiGIWe_Ok
Kaise Thank You Kahe | कैसे किसी को थैंक यू या धन्यवाद कहें | Thank Someone,All,Art,ये क्विक वीडियो आपको टिप्स देगा कि कैसे किसी को धन्यवाद दें!,"To read an article on this topic, use the following link:",https://hi.wikihow.com/किसी-को-धन्यवाद-दें,https://youtu.be/LaY40NUQXbs
Tie Bandhna Seekhe | टाई कैसे बाँधें | Tie a Tie,"6, 7, 8, 9, 10, 11, 12",Art,ये क्विक वीडियो आपको टिप्स देगा कि कैसे बाँधें एक टाई!,"To read an article on this topic, use the following link:",https://hi.wikihow.com/बाँधें-एक-टाई,https://youtu.be/vReKvhJGnq0
Kaise Padhai Kare | कैसे अच्छे से पढ़ाई करें | Study,"6, 7, 8, 9, 10, 11, 12",Pedagogy,ये क्विक वीडियो आपको टिप्स देगा कि कैसे पढ़ाई करें!,"To read an article on this topic, use the following link:",https://hi.wikihow.com/पढ़ाई-करें,https://youtu.be/lVVVKpdu9yo
Volcano ya Jwalamukhi Kaise Banaye | वोलकेनो (ज्वालामुखी) कैसे बनाएं | Make a Volcano,"4, 5, 6, 7, 8",Science,ये क्विक वीडियो आपको टिप्स देगा कि कैसे वोलकेनो (ज्वालामुखी) बनाएं!,"To read an article on this topic, use the following link:",https://hi.wikihow.com/वोलकेनो-(ज्वालामुखी)-बनाएं,https://youtu.be/6wiR_XA3A_k
Kagaz Ki Kashti Kaise Banaye | कागज़ की नाँव बनायें | Make a Paper Boat,"1, 2, 3, 4, 5",Art,ये क्विक वीडियो आपको टिप्स देगा कि कैसे कागज की नाव बनाएं!,"To read an article on this topic, use the following link:",https://hi.wikihow.com/कागज-की-नाव-बनाएं,https://youtu.be/9-PMiF8tVqU
